respondent_id,h1n1_vaccine,seasonal_vaccine
27178,0.05,0.33
27179,0.11,0.25
27180,0.16,0.33
27181,0.04,0.83
27182,0.44,0.78
27183,0.01,0.75
27184,0.15,0.46
27185,0.34,0.72
27186,0.23,0.84
27187,0.12,0.23
27188,0.12,0.45
27189,0.19,0.7
27190,0.36,0.8
27191,0.28,0.89
27192,0.35,0.62
27193,0.02,0.1
27194,0.29,0.38
27195,0.02,0.13
27196,0.2,0.21
27197,0.14,0.79
27198,0.46,0.9
27199,0.14,0.37
27200,0.14,0.56
27201,0.56,0.76
27202,0.12,0.22
27203,0.02,0.16
27204,0.03,0.01
27205,0.2,0.4
27206,0.31,0.36
27207,0.2,0.14
27208,0.71,0.7
27209,0.28,0.35
27210,0.03,0.22
27211,0.1,0.26
27212,0.35,0.79
27213,0.41,0.62
27214,0.05,0.1
27215,0.13,0.63
27216,0.23,0.78
27217,0.09,0.32
27218,0.51,0.82
27219,0.67,0.77
27220,0.38,0.41
27221,0.03,0.73
27222,0.17,0.61
27223,0.12,0.64
27224,0.08,0.59
27225,0.27,0.26
27226,0.07,0.24
27227,0.14,0.26
27228,0.67,0.87
27229,0.57,0.81
27230,0.32,0.89
27231,0.55,0.87
27232,0.14,0.44
27233,0.41,0.37
27234,0.07,0.08
27235,0.85,0.95
27236,0.14,0.81
27237,0.77,0.83
27238,0.49,0.83
27239,0.28,0.32
27240,0.07,0.3
27241,0.13,0.17
27242,0.24,0.65
27243,0.05,0.1
27244,0.02,0.11
27245,0.07,0.35
27246,0.8,0.86
27247,0.26,0.99
27248,0.19,0.68
27249,0.06,0.56
27250,0.03,0.11
27251,0.03,0.5
27252,0.24,0.53
27253,0.03,0.81
27254,0.94,0.98
27255,0.13,0.23
27256,0.71,0.9
27257,0.44,0.53
27258,0.29,0.75
27259,0.37,0.79
27260,0.18,0.26
27261,0.24,0.79
27262,0.12,0.38
27263,0.13,0.09
27264,0.02,0.13
27265,0.06,0.4
27266,0.14,0.32
27267,0.26,0.57
27268,0.12,0.18
27269,0.64,0.48
27270,0.1,0.12
27271,0.03,0.22
27272,0.11,0.5
27273,0.11,0.21
27274,0.13,0.38
27275,0.09,0.36
27276,0.01,0.22
27277,0.05,0.83
27278,0.1,0.34
27279,0.11,0.31
27280,0.49,0.41
27281,0.08,0.36
27282,0.11,0.9
27283,0.04,0.23
27284,0.33,0.52
27285,0.01,0.32
27286,0.16,0.54
27287,0.16,0.7
27288,0.5,0.73
27289,0.19,0.49
27290,0.02,0.12
27291,0.39,0.76
27292,0.07,0.59
27293,0.03,0.92
27294,0.05,0.08
27295,0.55,0.86
27296,0.09,0.79
27297,0.07,0.8
27298,0.01,0.29
27299,0.39,0.61
27300,0.19,0.73
27301,0.04,0.05
27302,0.19,0.74
27303,0.15,0.18
27304,0.1,0.71
27305,0.05,0.11
27306,0.29,0.6
27307,0.78,0.78
27308,0.22,0.35
27309,0.83,0.95
27310,0.04,0.28
27311,0.12,0.26
27312,0.14,0.51
27313,0.04,0.14
27314,0.05,0.06
27315,0.06,0.18
27316,0.25,0.72
27317,0.18,0.28
27318,0.07,0.28
27319,0.34,0.83
27320,0.17,0.77
27321,0.04,0.66
27322,0.55,0.51
27323,0.01,0.46
27324,0.27,0.64
27325,0.84,0.97
27326,0.11,0.48
27327,0.27,0.37
27328,0.33,0.42
27329,0.13,0.18
27330,0.09,0.63
27331,0.12,0.23
27332,0.15,0.86
27333,0.7,0.73
27334,0.02,0.08
27335,0.24,0.26
27336,0.19,0.16
27337,0.34,0.48
27338,0.23,0.47
27339,0.13,0.33
27340,0.0,0.09
27341,0.2,0.76
27342,0.28,0.61
27343,0.02,0.15
27344,0.34,0.48
27345,0.11,0.3
27346,0.38,0.9
27347,0.76,0.88
27348,0.0,0.17
27349,0.11,0.3
27350,0.05,0.85
27351,0.69,0.88
27352,0.1,0.45
27353,0.09,0.22
27354,0.32,0.69
27355,0.3,0.35
27356,0.34,0.63
27357,0.07,0.35
27358,0.4,0.67
27359,0.34,0.78
27360,0.24,0.67
27361,0.12,0.88
27362,0.41,0.53
27363,0.18,0.23
27364,0.01,0.46
27365,0.41,0.62
27366,0.39,0.68
27367,0.21,0.45
27368,0.04,0.44
27369,0.04,0.12
27370,0.07,0.76
27371,0.21,0.39
27372,0.09,0.21
27373,0.74,0.78
27374,0.04,0.25
27375,0.11,0.77
27376,0.44,0.31
27377,0.19,0.58
27378,0.09,0.14
27379,0.02,0.21
27380,0.16,0.83
27381,0.04,0.56
27382,0.18,0.33
27383,0.05,0.54
27384,0.08,0.34
27385,0.06,0.9
27386,0.03,0.88
27387,0.55,0.69
27388,0.17,0.33
27389,0.04,0.14
27390,0.03,0.08
27391,0.31,0.73
27392,0.87,0.82
27393,0.02,0.15
27394,0.01,0.53
27395,0.66,0.65
27396,0.11,0.15
27397,0.79,0.93
27398,0.1,0.68
27399,0.19,0.58
27400,0.1,0.69
27401,0.24,0.42
27402,0.19,0.74
27403,0.02,0.11
27404,0.13,0.22
27405,0.63,0.85
27406,0.02,0.11
27407,0.08,0.14
27408,0.13,0.53
27409,0.73,0.95
27410,0.04,0.13
27411,0.09,0.19
27412,0.19,0.65
27413,0.12,0.33
27414,0.57,0.72
27415,0.11,0.42
27416,0.02,0.15
27417,0.4,0.65
27418,0.3,0.2
27419,0.71,0.93
27420,0.05,0.2
27421,0.13,0.3
27422,0.25,0.69
27423,0.07,0.31
27424,0.07,0.42
27425,0.16,0.71
27426,0.1,0.37
27427,0.11,0.31
27428,0.05,0.15
27429,0.39,0.39
27430,0.06,0.54
27431,0.11,0.58
27432,0.24,0.46
27433,0.13,0.83
27434,0.1,0.28
27435,0.23,0.52
27436,0.01,0.1
27437,0.12,0.15
27438,0.01,0.24
27439,0.17,0.32
27440,0.13,0.28
27441,0.8,0.83
27442,0.39,0.8
27443,0.06,0.2
27444,0.1,0.09
27445,0.09,0.1
27446,0.24,0.29
27447,0.06,0.25
27448,0.21,0.54
27449,0.23,0.84
27450,0.23,0.72
27451,0.06,0.17
27452,0.05,0.23
27453,0.14,0.89
27454,0.14,0.42
27455,0.23,0.4
27456,0.1,0.37
27457,0.01,0.15
27458,0.06,0.34
27459,0.07,0.14
27460,0.8,0.82
27461,0.11,0.25
27462,0.08,0.46
27463,0.09,0.32
27464,0.36,0.51
27465,0.85,0.88
27466,0.03,0.11
27467,0.05,0.27
27468,0.14,0.36
27469,0.12,0.55
27470,0.67,0.83
27471,0.07,0.76
27472,0.44,0.65
27473,0.18,0.31
27474,0.24,0.3
27475,0.02,0.11
27476,0.14,0.45
27477,0.1,0.29
27478,0.18,0.63
27479,0.04,0.3
27480,0.39,0.74
27481,0.7,0.79
27482,0.34,0.38
27483,0.63,0.74
27484,0.17,0.81
27485,0.08,0.73
27486,0.27,0.21
27487,0.25,0.9
27488,0.64,0.78
27489,0.89,0.8
27490,0.09,0.33
27491,0.33,0.56
27492,0.05,0.42
27493,0.18,0.91
27494,0.25,0.65
27495,0.16,0.25
27496,0.03,0.08
27497,0.13,0.15
27498,0.25,0.62
27499,0.05,0.97
27500,0.27,0.87
27501,0.1,0.4
27502,0.13,0.49
27503,0.12,0.7
27504,0.02,0.07
27505,0.04,0.05
27506,0.25,0.79
27507,0.06,0.22
27508,0.34,0.34
27509,0.05,0.42
27510,0.56,0.32
27511,0.24,0.69
27512,0.06,0.12
27513,0.19,0.56
27514,0.22,0.56
27515,0.45,0.51
27516,0.5,0.84
27517,0.02,0.06
27518,0.81,0.86
27519,0.05,0.07
27520,0.06,0.08
27521,0.06,0.3
27522,0.16,0.18
27523,0.02,0.14
27524,0.34,0.51
27525,0.05,0.33
27526,0.29,0.6
27527,0.04,0.92
27528,0.45,0.82
27529,0.15,0.73
27530,0.04,0.06
27531,0.09,0.14
27532,0.06,0.92
27533,0.39,0.4
27534,0.18,0.04
27535,0.05,0.74
27536,0.23,0.33
27537,0.39,0.69
27538,0.33,0.4
27539,0.27,0.76
27540,0.31,0.23
27541,0.79,0.97
27542,0.02,0.1
27543,0.6,0.73
27544,0.16,0.24
27545,0.2,0.2
27546,0.53,0.57
27547,0.07,0.11
27548,0.12,0.94
27549,0.04,0.81
27550,0.15,0.28
27551,0.08,0.56
27552,0.01,0.7
27553,0.1,0.48
27554,0.25,0.39
27555,0.07,0.19
27556,0.15,0.68
27557,0.31,0.87
27558,0.08,0.23
27559,0.22,0.7
27560,0.46,0.65
27561,0.57,0.66
27562,0.35,0.69
27563,0.18,0.64
27564,0.32,0.28
27565,0.14,0.33
27566,0.35,0.38
27567,0.05,0.46
27568,0.34,0.84
27569,0.22,0.61
27570,0.37,0.7
27571,0.06,0.1
27572,0.01,0.04
27573,0.09,0.32
27574,0.28,0.49
27575,0.04,0.29
27576,0.02,0.06
27577,0.17,0.41
27578,0.18,0.47
27579,0.14,0.47
27580,0.08,0.65
27581,0.05,0.19
27582,0.1,0.11
27583,0.03,0.08
27584,0.6,0.59
27585,0.14,0.41
27586,0.53,0.62
27587,0.09,0.76
27588,0.19,0.35
27589,0.09,0.54
27590,0.15,0.59
27591,0.17,0.68
27592,0.03,0.05
27593,0.05,0.1
27594,0.08,0.7
27595,0.03,0.17
27596,0.16,0.08
27597,0.16,0.28
27598,0.16,0.3
27599,0.34,0.67
27600,0.12,0.46
27601,0.11,0.65
27602,0.79,0.76
27603,0.14,0.08
27604,0.07,0.34
27605,0.49,0.62
27606,0.36,0.23
27607,0.48,0.51
27608,0.27,0.55
27609,0.19,0.74
27610,0.39,0.61
27611,0.35,0.18
27612,0.0,0.64
27613,0.88,0.97
27614,0.09,0.33
27615,0.19,0.9
27616,0.04,0.05
27617,0.19,0.47
27618,0.27,0.67
27619,0.2,0.33
27620,0.23,0.55
27621,0.14,0.24
27622,0.8,0.96
27623,0.07,0.72
27624,0.25,0.56
27625,0.03,0.37
27626,0.06,0.2
27627,0.76,0.81
27628,0.08,0.83
27629,0.02,0.06
27630,0.43,0.76
27631,0.11,0.34
27632,0.07,0.37
27633,0.5,0.75
27634,0.25,0.27
27635,0.05,0.33
27636,0.35,0.86
27637,0.02,0.14
27638,0.28,0.31
27639,0.01,0.29
27640,0.61,0.63
27641,0.33,0.48
27642,0.29,0.62
27643,0.1,0.08
27644,0.09,0.56
27645,0.22,0.13
27646,0.09,0.38
27647,0.12,0.14
27648,0.14,0.12
27649,0.2,0.43
27650,0.1,0.58
27651,0.43,0.89
27652,0.2,0.38
27653,0.07,0.11
27654,0.18,0.6
27655,0.24,0.52
27656,0.08,0.2
27657,0.54,0.33
27658,0.08,0.47
27659,0.03,0.03
27660,0.36,0.47
27661,0.17,0.22
27662,0.06,0.36
27663,0.36,0.77
27664,0.13,0.18
27665,0.6,0.59
27666,0.17,0.85
27667,0.04,0.04
27668,0.81,0.98
27669,0.29,0.91
27670,0.55,0.97
27671,0.12,0.8
27672,0.01,0.12
27673,0.13,0.37
27674,0.11,0.56
27675,0.47,0.8
27676,0.24,0.77
27677,0.08,0.15
27678,0.09,0.27
27679,0.1,0.62
27680,0.72,0.91
27681,0.03,0.09
27682,0.04,0.89
27683,0.15,0.56
27684,0.13,0.24
27685,0.09,0.09
27686,0.25,0.38
27687,0.03,0.09
27688,0.14,0.55
27689,0.76,0.94
27690,0.75,0.86
27691,0.73,0.9
27692,0.04,0.27
27693,0.16,0.62
27694,0.17,0.4
27695,0.18,0.37
27696,0.08,0.66
27697,0.68,0.81
27698,0.37,0.54
27699,0.04,0.25
27700,0.1,0.45
27701,0.23,0.49
27702,0.26,0.4
27703,0.03,0.12
27704,0.08,0.12
27705,0.53,0.71
27706,0.06,0.8
27707,0.06,0.42
27708,0.41,0.61
27709,0.27,0.35
27710,0.1,0.23
27711,0.67,0.73
27712,0.05,0.11
27713,0.01,0.08
27714,0.22,0.11
27715,0.85,0.76
27716,0.25,0.36
27717,0.17,0.17
27718,0.17,0.38
27719,0.0,0.08
27720,0.09,0.34
27721,0.44,0.28
27722,0.26,0.36
27723,0.2,0.83
27724,0.07,0.19
27725,0.05,0.53
27726,0.17,0.37
27727,0.23,0.9
27728,0.37,0.46
27729,0.1,0.12
27730,0.75,0.79
27731,0.81,0.85
27732,0.03,0.91
27733,0.04,0.14
27734,0.07,0.38
27735,0.24,0.47
27736,0.16,0.21
27737,0.14,0.65
27738,0.58,0.99
27739,0.67,0.93
27740,0.02,0.45
27741,0.2,0.66
27742,0.05,0.64
27743,0.5,0.79
27744,0.07,0.37
27745,0.65,0.84
27746,0.18,0.69
27747,0.12,0.29
27748,0.24,0.25
27749,0.11,0.67
27750,0.25,0.32
27751,0.21,0.34
27752,0.25,0.74
27753,0.09,0.11
27754,0.15,0.68
27755,0.79,0.93
27756,0.12,0.23
27757,0.02,0.09
27758,0.15,0.83
27759,0.03,0.1
27760,0.48,0.74
27761,0.2,0.81
27762,0.04,0.14
27763,0.03,0.62
27764,0.33,0.48
27765,0.07,0.53
27766,0.76,0.94
27767,0.57,0.86
27768,0.15,0.12
27769,0.13,0.41
27770,0.03,0.61
27771,0.11,0.56
27772,0.87,0.86
27773,0.11,0.57
27774,0.19,0.21
27775,0.14,0.26
27776,0.02,0.05
27777,0.24,0.54
27778,0.14,0.15
27779,0.17,0.24
27780,0.14,0.89
27781,0.05,0.14
27782,0.88,0.95
27783,0.25,0.59
27784,0.12,0.2
27785,0.05,0.22
27786,0.09,0.17
27787,0.1,0.34
27788,0.01,0.12
27789,0.71,0.93
27790,0.73,0.69
27791,0.03,0.36
27792,0.06,0.6
27793,0.13,0.14
27794,0.09,0.32
27795,0.24,0.76
27796,0.1,0.51
27797,0.33,0.69
27798,0.22,0.15
27799,0.11,0.19
27800,0.23,0.25
27801,0.02,0.2
27802,0.79,0.89
27803,0.04,0.04
27804,0.52,0.79
27805,0.22,0.2
27806,0.33,0.72
27807,0.29,0.7
27808,0.26,0.41
27809,0.39,0.78
27810,0.02,0.18
27811,0.05,0.1
27812,0.08,0.12
27813,0.33,0.49
27814,0.17,0.34
27815,0.11,0.36
27816,0.49,0.69
27817,0.24,0.45
27818,0.21,0.81
27819,0.05,0.15
27820,0.64,0.6
27821,0.19,0.3
27822,0.08,0.26
27823,0.24,0.32
27824,0.13,0.73
27825,0.3,0.33
27826,0.3,0.55
27827,0.06,0.14
27828,0.02,0.25
27829,0.01,0.17
27830,0.2,0.25
27831,0.08,0.51
27832,0.15,0.53
27833,0.15,0.31
27834,0.73,0.85
27835,0.27,0.64
27836,0.18,0.85
27837,0.65,0.75
27838,0.02,0.52
27839,0.07,0.13
27840,0.45,0.63
27841,0.1,0.31
27842,0.42,0.79
27843,0.07,0.51
27844,0.08,0.86
27845,0.08,0.87
27846,0.07,0.27
27847,0.06,0.56
27848,0.59,0.87
27849,0.23,0.76
27850,0.12,0.17
27851,0.44,0.3
27852,0.28,0.65
27853,0.14,0.18
27854,0.14,0.7
27855,0.1,0.44
27856,0.28,0.82
27857,0.3,0.91
27858,0.85,0.93
27859,0.78,0.9
27860,0.15,0.62
27861,0.01,0.21
27862,0.16,0.35
27863,0.2,0.3
27864,0.04,0.43
27865,0.25,0.51
27866,0.72,0.72
27867,0.63,0.68
27868,0.46,0.86
27869,0.02,0.37
27870,0.33,0.19
27871,0.19,0.52
27872,0.05,0.12
27873,0.12,0.12
27874,0.3,0.76
27875,0.19,0.51
27876,0.1,0.09
27877,0.15,0.7
27878,0.12,0.66
27879,0.12,0.7
27880,0.13,0.18
27881,0.04,0.7
27882,0.05,0.2
27883,0.12,0.2
27884,0.08,0.28
27885,0.02,0.15
27886,0.19,0.31
27887,0.55,0.58
27888,0.09,0.45
27889,0.15,0.23
27890,0.15,0.35
27891,0.16,0.37
27892,0.09,0.21
27893,0.07,0.27
27894,0.32,0.28
27895,0.28,0.77
27896,0.02,0.45
27897,0.0,0.07
27898,0.04,0.12
27899,0.0,0.51
27900,0.4,0.89
27901,0.09,0.11
27902,0.03,0.26
27903,0.15,0.15
27904,0.09,0.41
27905,0.03,0.25
27906,0.02,0.66
27907,0.74,0.91
27908,0.33,0.61
27909,0.12,0.26
27910,0.13,0.62
27911,0.6,0.71
27912,0.06,0.53
27913,0.01,0.2
27914,0.13,0.43
27915,0.04,0.39
27916,0.2,0.59
27917,0.18,0.46
27918,0.12,0.91
27919,0.09,0.38
27920,0.16,0.77
27921,0.15,0.66
27922,0.5,0.59
27923,0.12,0.94
27924,0.11,0.26
27925,0.0,0.05
27926,0.26,0.22
27927,0.02,0.21
27928,0.47,0.84
27929,0.04,0.88
27930,0.17,0.28
27931,0.85,0.88
27932,0.11,0.07
27933,0.02,0.25
27934,0.54,0.69
27935,0.28,0.71
27936,0.27,0.58
27937,0.81,0.92
27938,0.02,0.18
27939,0.04,0.12
27940,0.01,0.18
27941,0.03,0.18
27942,0.02,0.2
27943,0.04,0.58
27944,0.2,0.3
27945,0.47,0.34
27946,0.1,0.13
27947,0.66,0.86
27948,0.04,0.23
27949,0.09,0.4
27950,0.05,0.9
27951,0.56,0.73
27952,0.07,0.87
27953,0.2,0.71
27954,0.07,0.78
27955,0.06,0.82
27956,0.56,0.79
27957,0.07,0.2
27958,0.61,0.77
27959,0.34,0.34
27960,0.1,0.45
27961,0.03,0.15
27962,0.68,0.92
27963,0.02,0.12
27964,0.02,0.09
27965,0.01,0.14
27966,0.48,0.84
27967,0.08,0.15
27968,0.26,0.62
27969,0.52,0.84
27970,0.11,0.25
27971,0.07,0.68
27972,0.18,0.51
27973,0.54,0.72
27974,0.22,0.5
